Genome	group	locustag	lichen_species	role_in_lichen	classification	NCBI_ID
public_SRR14722177_concoct_bin.11	fungus	SRR14722177b11	Biatora appalachensis	mycobiont	Biatora appalachensis	1399625 99240 56478 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722181_concoct_bin.15	fungus	SRR14722181b15	Gomphillus calycioides	mycobiont	Gomphillus calycioides	1457650 248111 1130097 71598 38074 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722185_metabat2_bin.2	fungus	SRR14722185b2	Mycobilimbia sp. Lendemer_46123_NY-2606825	mycobiont_missassigned	Lecanorales	5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722188_concoct_bin.30	alga	SRR14722188b30	Xylographa vitiligo	photobiont_chloro	Elliptochloris clade	2511161 75981 75966 2692248 3041 33090 2759 131567 
public_SRR14722222_metabat2_bin.6	fungus	SRR14722222b6	Arthonia quintaria	mycobiont_missassigned	Eurotiomycetes	147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722229_concoct_bin.24	fungus	SRR14722229b24	Lecidea roseotincta	mycobiont_missassigned	Lecanorales	5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722233_metabat2_bin.15	fungus	SRR14722233b15	Arthothelium ruanum	mycobiont	Arthothelium ruanum	2080612 92838 39678 39677 147539 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722279_metabat2_bin.4	fungus	SRR14722279b4	Byssoloma meadii	mycobiont	Byssoloma meadii	284117 196564 172841 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722280_metabat2_bin.4	fungus	SRR14722280b4	Dictyomeridium proponens	mycobiont	Dictyomeridium proponens	1127318 1929896 271822 714581 159987 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722281_metabat2_bin.1	fungus	SRR14722281b1	Viridothelium virens	mycobiont	Viridothelium virens	1048519 1929940 271822 714581 159987 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722288_metabat2_bin.3	fungus	SRR14722288b3	Dibaeis sorediata	mycobiont	Dibaeis sorediata	1404347 83477 83476 88639 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR1531517_concoct_bin.16	fungus	SRR1531517b16	Dibaeis baeomyces	mycobiont	Dibaeis baeomyces	83478 83477 83476 88639 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR1531569_concoct_bin.26	fungus	SRR1531569b26	Peltula cylindrica	mycobiont	Peltula cylindrica	1307827 157480 157476 291611 315355 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR5808930_metabat2_bin.9	fungus	SRR5808930b9	Evernia prunastri	mycobiont	Evernia prunastri	87257 87256 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR5808932_concoct_bin.35	fungus	SRR5808932b35	Pseudevernia furfuracea	mycobiont	Pseudevernia furfuracea	136282 88743 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR7232211_concoct_bin.3	fungus	SRR7232211b3	Letharia vulpina	mycobiont	Letharia vulpina	129387 112415 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
