	public_SRR14722229_metawrap_bin.6	public_SRR14722088_metawrap_bin.5	private_TS1974_metawrap_bin.5	public_SRR14722154_metawrap_bin.3	public_SRR14722157_metawrap_bin.1	private_T1916_metawrap_bin.2	private_VT16_metawrap_bin.4	public_SRR14722050_metawrap_bin.2	private_T1888_metawrap_bin.6	private_VT22_metawrap_bin.8	private_X16_metawrap_bin.17	private_X3_metawrap_bin.2	public_ERR4179390_metawrap_bin.2	public_SRR14722049_metawrap_bin.2	public_SRR14722081_metawrap_bin.1	public_SRR14722095_metawrap_bin.2	public_SRR2387885_metawrap_bin.6	private_X5_metawrap_bin.1	public_SRR11456921_metawrap_bin.3	public_SRR11456915_metawrap_bin.3	public_SRR14721954_metawrap_bin.4	public_SRR11456923_metawrap_bin.7	public_SRR14722145_metawrap_bin.2	public_SRR14722161_metawrap_bin.1	public_SRR11456913_metawrap_bin.11	public_SRR11456918_metawrap_bin.3	public_SRR11456919_metawrap_bin.5	public_SRR1531545_metawrap_bin.1	private_X15_metawrap_bin.2	private_VT1_metawrap_bin.3	private_VT1_metawrap_bin.1	public_SRR7232211_metawrap_bin.1	private_X11_metawrap_bin.3	private_T1894_metawrap_bin.4	public_SRR14721985_metawrap_bin.2	private_X9_metawrap_bin.1	private_T1887_metawrap_bin.15	private_T1889_metawrap_bin.2	private_TS1974_metawrap_bin.6	private_VT34_metawrap_bin.3	public_SRR11456914_metawrap_bin.12	public_SRR13125477_metawrap_bin.5	public_SRR14722071_metawrap_bin.1	private_T1904_metawrap_bin.1	private_X1_metawrap_bin.1	public_SRR14722123_metawrap_bin.1	private_T1894_metawrap_bin.9	private_T1916_metawrap_bin.6	private_VT26_metawrap_bin.1	private_T1916_metawrap_bin.13	private_TS1974_metawrap_bin.3	public_SRR11456919_metawrap_bin.13	public_SRR11456919_metawrap_bin.3	private_T1887_metawrap_bin.3	private_X3_metawrap_bin.3	private_VT34_metawrap_bin.4	public_ERR4179389_metawrap_bin.2	public_SRR11456918_metawrap_bin.7	public_SRR11456919_metawrap_bin.1	public_SRR14722117_metawrap_bin.2	private_VT1_metawrap_bin.2	public_SRR11456915_metawrap_bin.9	public_SRR11456919_metawrap_bin.2
M00532_1	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.111111111111111	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.444444444444444	0.555555555555556	0.444444444444444	0.555555555555556	0.444444444444444	0.222222222222222	0.111111111111111	0.222222222222222	0.222222222222222	0.333333333333333	0.222222222222222	0.111111111111111	0.333333333333333	0.111111111111111	0.222222222222222	0.444444444444444	0.333333333333333	0.222222222222222	0.111111111111111	0.333333333333333	0.222222222222222	0.111111111111111	0.222222222222222	0.222222222222222	0.111111111111111	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.111111111111111	0.222222222222222	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.222222222222222	0.222222222222222	0.222222222222222	0.111111111111111
M00532_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1
M00013_1	0	0	0	0	0	0	0	0.4	0.4	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.2	0.2	0	0.2	0.4	0.2	0.2	0.4	0.2	0.2	0.2	0.2	0.2	0.2	0	0.2	0	0.2	0.2	0.2	0.4	0	0.2	0.2	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
M00741_1	0	0	0.333333333333333	0	0	0	0	0.333333333333333	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.666666666666667	1	0.666666666666667	1	1	1	0	1	1	1	0	0	0	0
M00968_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0.333333333333333	0	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00131_1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
M00165_1	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.545454545454545	0.636363636363636	0.636363636363636	0.545454545454545	0.636363636363636	0.545454545454545	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.545454545454545	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.818181818181818	0.818181818181818	0.727272727272727	0.727272727272727	0.818181818181818	0.818181818181818	0.727272727272727	0.818181818181818	1	0.636363636363636	0.818181818181818	1	0.727272727272727	1	0.818181818181818	0.818181818181818	0.818181818181818	0.727272727272727	0.818181818181818	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	0.727272727272727	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	0.727272727272727	0.818181818181818	0.727272727272727	0.545454545454545	0.636363636363636	0.636363636363636	0.636363636363636
M00168_1	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	0.5	0.5	0.5	1	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00169_1	0	0	0.5	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0.5	0.5	1	0.5	0.5	1	0.5	1	1	1	1	0.5	1	0.5	0.5	0.5	1	1	1	1	1	1	1	1	0	1	1	1	0.5	1	0.5	0.5
M00172_1	0.25	0.25	0.5	0.5	0.5	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.75	0.75	0.5	0.5	0.75	0.5	0.5	0.75	0.5	0.75	0.75	0.75	0.75	0.5	0.75	0.5	0.5	0.5	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.25	0.75	0.75	0.75	0.5	0.75	0.5	0.5
M00171_1	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.142857142857143	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.142857142857143	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286
M00170_1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.5	0.5	0.5	0.5	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.5	0.5	0.5	0.25	0.25	0.25	0.25
M00173_1	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.6	0.6	0.5	0.6	0.5	0.5	0.5	0.4	0.5	0.6	0.5	0.6	0.5	0.5	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.5	0.7	0.7	0.6	0.6	0.7	0.7	0.7	0.6	0.6	0.6	0.7	0.7	0.6	0.7	0.7	0.6	0.7	0.8	0.6	0.8	0.6	0.7	0.6	0.7	0.5	0.7
