FEN	Field_Determination	Current_Determination	Collector	Collection_Number	Herbarium	Herbarium_Barcode	Basidiomycete Hit?									
FEN_415_Leucodecton_sp	Leucodecton_sp	Leucodecton	Tripp	6156	NY	2796959	No									
FEN_242_Ionaspis_alba	Ionaspis_alba	Lonaspis alba	Lendemer	47174	NY	2795356	No									
FEN_89_Lopadium_disciforme	Lopadium_disciforme	Lopadium disciforme	Lendemer	46209	NY	2606739	No									
FEN_109_Loxospora_elatina	Loxospora_elatina	Loxospora elatina	Lendemer	46283	NY	2606665	No									
FEN_337_Loxospora_elatina	Loxospora_elatina	Loxospora elatina	Tripp	5040	NY	2358356	No									
FEN_90_Loxospora_ochrophaea	Loxospora_ochrophaea	Loxospora ochrophaea	Lendemer	46150	NY	2606798	No									
FEN_243_Melanelia_culbersonii	Melanelia_culbersonii	Melanelia culbersonii	Lendemer	47178	NY	2795352	No									
FEN_214_Melanelia_stygia	Melanelia_stygia	Melanelia stygia	Lendemer	46383	NY	2795263	No									
FEN_31_Melanohalea_halei	Melanohalea_halei	Melanohalea halei	Lendemer	46188	NY	2606760	No									
FEN_353_Melanohalea_halei	Melanohalea_halei	Melanohalea halei	Lendemer	48557	NY	3217083	No									
FEN_66_Menegazzia_subsimilis	Menegazzia_subsimilis	Menegazzia subsimilis	Lendemer	45892	NY	2606598	No									
FEN_218_Micarea_neostipitata	Micarea_neostipitata	Micarea neostipitata	Lendemer	46798	NY	2794839	No									
FEN_500_Micarea_peliocarpa	Micarea_peliocarpa	Micarea peliocarpa	Tripp	6579	NY	2796697	No									
FEN_339_Micareopsis_irriguata	Micareopsis_irriguata	Micareopsis irriguata	Lendemer	44650	NY	2438369	No									
FEN_483_Micareopsis_irriguata	Micareopsis_irriguata	Micareopsis irriguata	Tripp	6517	NY	2796809	No									
FEN_510_Micareopsis_irriguata	Micareopsis_irriguata	Micareopsis irriguata	Lendemer	49963	NY	3034825	No									
FEN_341_Multiclavula_mucida	Multiclavula_mucida	Multiclavula mucida	Tripp	4936	NY	2359961	No									
FEN_153_Mycobilimbia_sp	Mycobilimbia_sp_nov	Mycoblimbia	Lendemer	46123	NY	2606825	No									
FEN_233_Mycocalicium_subtile	Mycocalicium_subtile	Mycocalicium subtile	Lendemer	46974	NY	2794659	No									
FEN_343_Myelochroa_obsessa	Myelochroa_obsessa	Myelochroa obsessa	Tripp	4959	COLO	COLO-L-0050337	No									
FEN_432_Pseudosagedia_chlorotica	Myelochroa_obsessa	Myelochroa obsessa	Tripp	6196	NY	2796940	No									
FEN_466_Nadvornikia_sorediata	Nadvornikia_sorediata	Nadvornikia sorediata	Lendemer	49617	NY	3034332	No									
FEN_2_Nephroma_helveticum	Nephroma_helveticum	Nephroma helveticum	Lendemer	45984	NY	2606966	No									
FEN_254_Nephroma_resupinatum	Nephroma_resupinatum	Nephroma helveticum	Allen	4071	NY	2606415	No									
FEN_211_Ochrolechia_arborea	Ochrolechia_arborea	Ochrolechia arborea	Lendemer	46422	NY	2795225	No									
FEN_389_Ochrolechia_trochophora	Ochrolechia_trochophora	Ochrolechia trochophora	Lendemer	48860	NY	3033329	No									
FEN_245_Ochrolechia_yasudae	Ochrolechia_yasudae	Ochrolechia yasudae	Lendemer	47150	NY	2795379	No									
FEN_345_Opegrapha_corticola	Opegrapha_corticola	Opegrapha corticola	Tripp	4629	COLO	 COLO-L-0050140	No									
FEN_419_Opegrapha_moroziana	Opegrapha_moroziana	Opegrapha moroziana	Lendemer	49121	NY	3033550	No									
FEN_41_Opegrapha_varia	Opegrapha_varia	Opegrapha varia	Lendemer	45935	NY	2606554	No									
FEN_226_Opegrapha_viridis	Opegrapha_viridis	Opegrapha viridis	Lendemer	46886	NY	2794753	No									
FEN_117_Opegrapha_vulgata	Opegrapha_vulgata	Opegrapha vulgata	Lendemer	45910	NY	2606579	Yes									
FEN_347_Pannaria_subfusca	Pannaria_subfusca	Pannaria subfusca	Tripp	3923	NY	2057325	No									
FEN_346_Pannaria_tavaresii	Pannaria_tavaresii	Pannaria tavaresii	Tripp	5299	NY	2376424	No									
FEN_431_Pannaria_tavaresii	Pannaria_tavaresii	Pannaria tavaresii	Tripp	6190	NY	2808619	No									
FEN_361_Parmelia_squarrosa	Parmelia_squarrosa	Parmelia squarosa	Lendemer	48643	NY	3032951	No									
FEN_4_Parmelia_squarrosa	Parmelia_squarrosa	Parmelia squarrosa	Lendemer	46000	NY	2606948	No									
FEN_220_Peltigera_sp	Peltigera_sp	Peltigera	Lendemer	46965	NY	2794668	No									
FEN_503_Peltigera_neckeri	Peltigera_neckeri	Peltigera neckeri	Tripp	6583	NY	2796702	No									
FEN_221_Peltigera_neopolydactylon	Peltigera_neopolydactylon	Peltigera neopolydactyla	Lendemer	46966	NY	2794667	No									
FEN_288_Peltigera_phyllidiosa	Peltigera_phyllidiosa	Peltigera phyllidiosa	Tripp	4939	NY	2359959	No									
FEN_474_Peltigera_phyllidiosa	Peltigera_phyllidiosa	Peltigera phyllidiosa	Tripp	6435	NY	2796656	No									
FEN_67_Peltigera_praetextata	Peltigera_praetextata	Peltigera praetextata	Lendemer	45894	NY	2606596	No									
FEN_469_Peltigera_praetextata	Peltigera_praetextata	Peltigera praetextata	Tripp	6422	NY	2796645	No									
FEN_223_Phaeocalicium_polyporaeum	Phaeocalicium_polyporaeum	Phaeocalicium polyporaeum	Lendemer	46976	NY	2794657	No									
FEN_96_Phlyctis_boliviensis	Phlyctis_boliviensis	Phlyctis boliviensis	Lendemer	45964	NY	2606525	No									
FEN_308_Phlyctis_boliviensis	Phlyctis_boliviensis	Phlyctis boliviensis	Tripp	5526a	NY	2376396	No									
FEN_477_Phlyctis_boliviensis	Phlyctis_boliviensis	Phlyctis boliviensis	Tripp	6443	NY	2796719	No									
FEN_475_Phlyctis_petraea	Phlyctis_petraea	Phlyctis petrae race stictic acid	Lendemer	49648	NY	3034302	No									
FEN_351_Phlyctis_speirea	Phlyctis_speirea	Phlyctis speirea	Lendemer	48563	NY	3217076	No									
FEN_97_Phyllopsora_corallina	Phyllopsora_corallina	Phyllopsora corallina	Lendemer	45963	NY	2606526	No									
FEN_424_Phyllopsora_corallina	Phyllopsora_corallina	Phyllopsora corallina	Lendemer	49103	NY	3033568	No									
FEN_421_Phyllopsora_parvifolia	Phyllopsora_parvifolia	Phyllopsora parvifolia	Lendemer	49142	NY	3033529	No									
FEN_297_Pilophorus_fibula	Pilophorus_fibula	Pilophorus fibula	Tripp	4988	COLO	COLO-L-0050397	No									
FEN_274_Placidium_arboreum	Placidium_arboreum	Placidium arboreum	Tripp	6044	NY	2794318	No									
FEN_456_Placidium_arboreum	Placidium_arboreum	Placidium arboreum	Tripp	6367	NY	2808524	No									
FEN_481_Placynthium_petersii	Placynthium_petersii	Placynthium petersii	Tripp	6508	NY	2796802	No									
FEN_505_Polymeridium_proponens	Polymeridium_proponens	Polymerdium proponens	Lendemer	49947	NY	3034842	No									
FEN_298_Polysporina_simplex	Polysporina_simplex	Polysporina simplex	Tripp	5016	NY	2358352	No									
FEN_195_Porina_heterospora	Porina _heterospora	Porina heterospora	Lendemer	46723	NY	2794921	No									
FEN_414_Porina_heterospora	Porina_heterospora	Porina heterospora	Tripp	6153	NY	2796980	No									
FEN_272_Porina_scabrida	Porina_scabrida	Porina scabrida	Tripp	6035	NY	2794315	No									
