Run	SampleName	ScientificName	Current_Determination	Basidiomycete.Hit.	processed
SRR14722276	FEN_509_Cystocoleus_ebeneus_Plate6_R1.fastq.gz	Cystocoleus ebeneus	Cystocoleus ebeneus	No	FALSE
SRR14722277	FEN_508_Cladonia_furcata_Plate6_R1.fastq.gz	Cladonia furcata	Cladonia furcata	No	FALSE
SRR14722278	FEN_507_Buellia_spuria_Plate6_R1.fastq.gz	Buellia spuria	Buellia spuria	No	FALSE
SRR14722279	FEN_506_Byssoloma_meadii_Plate6_R1.fastq.gz	Byssoloma meadii	Byssoloma meadii	No	FALSE
SRR14722280	FEN_505_Polymeridium_proponens_Plate6_R1.fastq.gz	Dictyomeridium proponens	Polymerdium proponens	No	FALSE
SRR14722281	FEN_504_Trypethelium_virens_Plate6_R1.fastq.gz	Viridothelium virens	Trypethelium virens	No	FALSE
SRR14722282	FEN_503_Peltigera_neckeri_Plate6_R1.fastq.gz	Peltigera neckeri	Peltigera neckeri	No	FALSE
SRR14722283	FEN_502_Cresponea_flava_Plate6_R1.fastq.gz	Cresponea flava	Cresponea flava	No	FALSE
SRR14722285	FEN_501_Leptogium_dactylinum_Plate6_R1.fastq.gz	Scytinium dactylinum	Leptogium dactylinum	No	FALSE
SRR14722286	FEN_500_Micarea_peliocarpa_Plate6_R1.fastq.gz	Micarea peliocarpa	Micarea peliocarpa	No	FALSE
SRR14722287	FEN_499_Flakea_papillata_Plate6_R1.fastq.gz	Flakea papillata	Flakea papillata	No	FALSE
SRR14722288	FEN_498_Dibaeis_sorediata_Plate6_R1.fastq.gz	Dibaeis sorediata	Dibaeis sorediata	No	FALSE
SRR14722289	FEN_497_Parmotrema_rampoddense_Plate6_R1.fastq.gz	Diploschistes rampoddensis	Parmotrema rampoddense	No	FALSE
SRR14722290	FEN_496_Cladonia_robbinsii_Plate6_R1.fastq.gz	Cladonia robbinsii	Cladonia robbinsii	No	FALSE
SRR14722291	FEN_495_Tuckermanopsis_ciliaris_Plate6_R1.fastq.gz	Tuckermannopsis ciliaris	Tuckermanopsis ciliaris	No	FALSE
SRR14722292	FEN_494_Cladonia_rangiferina_Plate6_R1.fastq.gz	Cladonia rangiferina	Cladonia rangiferina	No	FALSE
SRR14722293	FEN_493_Cladonia_subtenuis_Plate6_R1.fastq.gz	Cladonia subtenuis	Cladonia subtenuis	No	FALSE
SRR14722294	FEN_492_Cladonia_caroliniana_Plate6_R1.fastq.gz	Cladonia caroliniana	Cladonia caroliniana	No	FALSE
SRR14722296	FEN_491_Cladonia_ravenelii_Plate6_R1.fastq.gz	Cladonia ravenelii	Cladonia ravenelii	No	FALSE
SRR14722297	FEN_490_Gyalideopsis_ozarkensis_Plate6_R1.fastq.gz	Gyalideopsis bartramiorum	Gyalideopsis bartramiorum	No	FALSE
SRR14722298	FEN_489_Cladonia_uncialis_Plate6_R1.fastq.gz	Cladonia subtenuis	Cladonia uncialis	No	FALSE
SRR14722299	FEN_488_Cladonia_squamosa_Plate6_R1.fastq.gz	Cladonia squamosa	Cladonia squamosa	No	FALSE
SRR14722300	FEN_487_Punctelia_caseana_Plate6_R1.fastq.gz	Punctelia caseana	Punctelia caseana	No	FALSE
SRR14722301	FEN_486_Cladonia_leporina_Plate6_R1.fastq.gz	Cladonia leporina	Cladonia leporina	No	FALSE
SRR14722302	FEN_485_Hypotrachyna_osseoalba_Plate6_R1.fastq.gz	Hypotrachyna osseoalba	Hypotrachyna osseoalba	No	FALSE
SRR14722303	FEN_484_ssc___Plate6_R1.fastq.gz	Rinodina brauniana	Rinodina colobinoides	No	FALSE
SRR14722304	FEN_483_Micareopsis_irriguata_Plate6_R1.fastq.gz	Micareopsis irriguata	Micareopsis irriguata	No	FALSE
SRR14722305	FEN_482_Heterodermia_casarettiana_Plate6_R1.fastq.gz	Heterodermia langdoniana	Heterodermia langdoniana	No	FALSE
SRR14722307	FEN_481_Placynthium_petersii_Plate6_R1.fastq.gz	Placynthium petersii	Placynthium petersii	No	FALSE
SRR14722308	FEN_480_Willeya_diffractella_Plate6_R1.fastq.gz	Willeya diffractella	Willeya diffractella	No	FALSE
SRR14722309	FEN_479_ssc_3_Plate6_R1.fastq.gz	Lecanora markjohnstonii	Sterile sorediate crust	No	FALSE
SRR14722310	FEN_478_Parmotrema_austrosinense_Plate6_R1.fastq.gz	Parmotrema austrosinense	Parmotrema austrosinense	No	FALSE
SRR14722311	FEN_477_Phlyctis_boliviensis_Plate6_R1.fastq.gz	Phlyctis boliviensis	Phlyctis boliviensis	No	FALSE
SRR14722312	FEN_476_Protoblastenia_rupestris_Plate6_R1.fastq.gz	Protoblastenia rupestris	Protoblastenia rupestris	No	FALSE
SRR14722313	FEN_475_Phlyctis_petraea_Plate6_R1.fastq.gz	Phlyctis petraea	Phlyctis petrae race stictic acid	No	FALSE
SRR14722314	FEN_474_Peltigera_phyllidiosa_Plate6_R1.fastq.gz	Peltigera phyllidiosa	Peltigera phyllidiosa	No	FALSE
SRR14722315	FEN_473_Leptogium_lichenoides_Plate6_R1.fastq.gz	Scytinium lichenoides	Leptogium lichenoides	No	FALSE
SRR14722316	FEN_472_Heterodermia_echinata_Plate6_R1.fastq.gz	Heterodermia echinata	Heterodermia echinata	No	FALSE
SRR14722318	FEN_471_Kephartia_crystalligera_Plate6_R1.fastq.gz	Kephartia crystalligera	Kephartia crystalligera	No	FALSE
SRR14722319	FEN_470_Cladonia_furcata_Plate6_R1.fastq.gz	Cladonia furcata	Cladonia furcata	No	FALSE
SRR14722320	FEN_469_Peltigera_praetextata_Plate6_R1.fastq.gz	Peltigera praetextata	Peltigera praetextata	No	FALSE
SRR14722321	FEN_468_Bagliettoa_baldensis_Plate6_R1.fastq.gz	Bagliettoa baldensis	Bagliettoa baldensis	No	FALSE
SRR14722322	FEN_467_Trentepohlia_sp_Plate6_R1.fastq.gz	Trentepohlia sp. Tripp_6417_NY-2796640	Trentepohlia	No	FALSE
SRR14722323	FEN_466_Nadvornikia_sorediata_Plate6_R1.fastq.gz	Nadvornikia sorediata	Nadvornikia sorediata	No	FALSE
SRR14722324	FEN_465_Lepraria_disjuncta_Plate6_R1.fastq.gz	Lepraria disjuncta	Lepraria disjuncta	No	FALSE
SRR14722325	FEN_464_Parmotrema_internexum_Plate6_R1.fastq.gz	Parmotrema internexum	Parmotrema internexum	No	FALSE
SRR14722326	FEN_463_Parmotrema_arnoldii_Plate6_R1.fastq.gz	Parmotrema arnoldii	Parmotrema arnoldii	No	FALSE
SRR14722327	FEN_462_Catillaria_lenticularis_Plate6_R1.fastq.gz	Catillaria lenticularis	Catillaria lenticularis	No	FALSE
SRR14722329	FEN_461_Parmotrema_cetratum_Plate6_R1.fastq.gz	Parmotrema cetratum	Parmotrema cetratum	No	FALSE
SRR14722330	FEN_460_Pertusaria_obruta_Plate6_R1.fastq.gz	Pertusaria obruta	Pertusaria obruta	No	FALSE
