Taxa	total_occ
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae	13
Eukaryota;Fungi;Basal fungi;Basal fungi;Chytridiomycota	13
Eukaryota;Fungi;Basidiomycota;Agaricomycotina;Unclassified Agaricomycotina	13
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Sapindales	13
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae	12
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Unclassified Sphingobacteriales	12
Bacteria;Chloroflexi;Ktedonobacteria;Unclassified Ktedonobacteria;	12
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;MN 122.2a	12
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	12
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae	12
Eukaryota;Rhizaria;Cercozoa;Silicofilosea;Euglyphida	12
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XII Incertae Sedis	11
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae	11
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae	11
Eukaryota;Archaeplastida;Chloroplastida;Unclassified Chloroplastida;	11
Eukaryota;Fungi;Basidiomycota;Pucciniomycotina;Agaricostilbomycetes	11
Eukaryota;Metazoa;Arthropoda;Hexapoda;Insecta	11
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae	10
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae	10
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Unclassified Flavobacteriales	10
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	10
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	10
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Unclassified Rhodobacterales	10
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae	10
Bacteria;Tenericutes;Mollicutes;Unclassified Mollicutes;	10
Eukaryota;Alveolata;Unclassified Alveolata;;	10
Eukaryota;Fungi;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes	10
Eukaryota;Metazoa;Nematoda;Chromadorea;Unclassified Chromadorea	10
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Viridiella fridericiana	10
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae	9
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionV;FamilyI	9
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae	9
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae	9
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;wr0007	9
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Desulfurellaceae	9
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	9
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	9
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae	9
Eukaryota;Alveolata;Ciliophora;Intramacronucleata;Litostomatea	9
Eukaryota;Unikonta;Amoebozoa;Conosa;Cavosteliida	9
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae	8
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae	8
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Unclassified Xanthomonadales	8
Bacteria;Verrucomicrobia;OPB35 soil group;Unclassified OPB35 soil group;	8
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae	8
Eukaryota;Metazoa;Tardigrada;Tardigrada;Unclassified Tardigrada	8
Eukaryota;Unikonta;Amoebozoa;Conosa;Unclassified Conosa	8
Bacteria;Acidobacteria;Acidobacteria;RB41;Acidobacteriaceae bacterium K22	7
Bacteria;Bacteroidetes;Cytophagia;Order II Incertae Sedis;Rhodothermaceae	7
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Blattabacteriaceae	7
Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;bacterium Ellin6537	7
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae	7
Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae	7
Bacteria;Planctomycetes;Unclassified Planctomycetes;;	7
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae	7
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;GOBB3-C201	7
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Family Incertae Sedis	7
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae	7
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	7
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae	7
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	7
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae	7
Eukaryota;Fungi;Basidiomycota;Unclassified Basidiomycota;	7
Eukaryota;Metazoa;Arthropoda;Hexapoda;Collembola	7
Eukaryota;Metazoa;Nematoda;Chromadorea;Aphelenchida	7
Eukaryota;Metazoa;Tardigrada;Tardigrada;Echiniscidae	7
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Coniferales	7
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae	6
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	6
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;480-2	6
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae	6
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae	6
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Oscillochloridaceae	6
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae	6
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	6
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	6
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae	6
Bacteria;Planctomycetes;Phycisphaerae;WD2101 soil group;Planctomycetales bacterium Ellin6207	6
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;F0723	6
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	6
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Unclassified Desulfobacterales	6
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae	6
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae	6
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Unclassified Entomoplasmatales	6
Eukaryota;Alveolata;Apicomplexa;Conoidasida;Unclassified Conoidasida	6
Eukaryota;Excavata;Euglenozoa;Kinetoplastea;Metakinetoplastina	6
Eukaryota;Fungi;Basidiomycota;Pucciniomycotina;Pucciniomycetes	6
Eukaryota;Fungi;Basidiomycota;Pucciniomycotina;Unclassified Pucciniomycotina	6
Eukaryota;Metazoa;Tardigrada;Tardigrada;Macrobiotidae	6
Bacteria;Acidobacteria;Acidobacteria;Candidatus Chloracidobacterium;Acidobacteriaceae bacterium Gsoil 1619	5
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	5
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unclassified Bacteroidales	5
Bacteria;Firmicutes;Bacilli;Bacillales;Family XII Incertae Sedis	5
Bacteria;Firmicutes;Bacilli;Unclassified Bacilli;	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVIII Incertae Sedis	5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Candidatus Liberibacter	5
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;0319-6G20	5
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Unclassified Campylobacterales	5
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Unclassified Mycoplasmatales	5
Eukaryota;Chromalveolata;Stramenopiles;Unclassified Stramenopiles;	5
Eukaryota;Excavata;Metamonada;Parabasalia;Trichomonadea	5
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Lichinales	5
Eukaryota;Fungi;Basal fungi;Basal fungi;Unclassified Basal fungi	5
Eukaryota;Metazoa;Arthropoda;Unclassified Arthropoda;	5
Eukaryota;Metazoa;Nematoda;Chromadorea;Plectidae	5
Eukaryota;Rhizaria;Cercozoa;Glissomonadida;Allantion	5
Eukaryota;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida	5
Eukaryota;Viridiplantae;Unclassified Viridiplantae;;	5
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	4
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae	4
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1	4
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	4
Bacteria;Bacteroidetes;Cytophagia;Unclassified Cytophagia;	4
Bacteria;Chloroflexi;Chloroflexi;Unclassified Chloroflexi;	4
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Unclassified Deinococcales	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	4
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae	4
Bacteria;Planctomycetes;Phycisphaerae;WD2101 soil group;Planctomycetales bacterium Ellin7224	4
