metagenome	bacteria_other	mycobiont	fungi_other	photobiont_chloro	algae_other	photobiont_cyano	cephalodia_cyano	mycobiont_missassigned	cypho	tremella	total	Lichen.metagenomes	Source	Produced	Batch	architecture	family	order	class	depth
SRR14722034	0	0	0	0	0	0	0	1	0	0	1	Lepraria caesiella	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Stereocaulaceae	Lecanorales	Lecanoromycetes	1210850276
SRR14722035	0	1	0	0	0	0	0	0	0	0	1	Melanohalea halei	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	553745992
SRR14722036	0	1	0	0	0	0	0	0	0	0	1	Phaeophyscia hispidula	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1159539872
SRR14722037	0	1	0	0	0	0	0	0	0	0	1	Phlyctis speirea	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	1763670034
SRR14722038	1	1	0	0	0	0	0	0	0	0	2	Flavopunctelia flaventior	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2082604986
SRR14722039	3	1	2	0	0	0	0	0	0	0	6	Trapeliopsis flexuosa	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Baeomycetales	Lecanoromycetes	2390043402
SRR14722041	8	1	0	0	0	0	0	0	0	0	9	Stereocaulon dactylophyllum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Stereocaulaceae	Lecanorales	Lecanoromycetes	2088996816
SRR14722042	7	1	0	1	0	0	0	0	0	0	9	Scoliciosporum umbrinum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Scoliciosporaceae	Lecanorales	Lecanoromycetes	2039049338
SRR14722043	4	1	0	0	0	0	0	0	0	0	5	Rinodina tephraspis	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Physciaceae	Caliciales	Lecanoromycetes	1807451880
SRR14722044	1	0	1	0	0	0	0	0	0	0	2	Rinodina chrysidiata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Physciaceae	Caliciales	Lecanoromycetes	1347790062
SRR14722045	1	0	0	0	0	0	0	0	0	0	1	Rinodina ascociscana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Physciaceae	Caliciales	Lecanoromycetes	1411963250
SRR14722046	2	1	0	0	0	0	0	0	0	0	3	Rhizocarpon geographicum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Rhizocarpales	Lecanoromycetes	1608581256
SRR14722047	0	1	0	0	0	0	0	0	0	0	1	Heterodermia leucomelaena	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1030012374
SRR14722048	1	0	1	0	0	0	0	0	0	0	2	Pyrenula subelliptica	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pyrenulales	Eurotiomycetes	2054355906
SRR14722049	6	1	0	0	0	0	0	0	0	0	7	Porpidia macrocarpa	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	2508462434
SRR14722050	3	1	0	0	0	0	0	0	0	0	4	Porpidia crustulata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	1782468326
SRR14722051	2	1	0	0	0	0	0	0	0	0	3	Xylographa trunciseda	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Baeomycetales	Lecanoromycetes	975559660
SRR14722054	3	1	0	0	0	0	0	0	0	0	4	Phaeophyscia rubropulchra	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1985291526
SRR14722056	0	1	0	0	0	0	0	0	0	0	1	Pertusaria plittiana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	1539342924
SRR14722057	6	1	1	0	0	0	0	0	0	0	8	Cladonia squamosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	2199167926
SRR14722058	2	1	0	0	0	0	0	0	0	0	3	Umbilicaria mammulata	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Umbilicariales	Lecanoromycetes	1850829952
SRR14722059	6	1	2	0	0	0	0	0	0	0	9	Tuckermannopsis ciliaris	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1561101118
SRR14722060	1	1	0	0	0	0	0	0	0	0	2	Nigrovothelium tropicum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Trypetheliales	Dothideomycetes	509313034
SRR14722061	2	1	0	0	0	0	0	0	0	0	3	Pyrenula pseudobufonia	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pyrenulales	Eurotiomycetes	1392783230
SRR14722062	2	1	0	0	0	1	0	0	0	0	4	Fuscopannaria leucosticta	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Peltigerales	Lecanoromycetes	2820670940
SRR14722063	2	1	0	0	0	0	0	0	0	0	3	Parmelia squarrosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1932117782
SRR14722064	3	1	0	0	0	0	0	0	0	0	4	Porpidia contraponenda	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	1632232688
SRR14722065	2	1	0	0	0	0	0	0	0	0	3	Polysporina simplex	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Acarosporales	Lecanoromycetes	2222570510
SRR14722066	4	1	0	0	0	0	0	0	0	0	5	Pilophorus fibula	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	1350674766
SRR14722067	1	1	0	1	0	0	0	0	0	0	3	Pertusaria epixantha	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	1539836090
SRR14722068	8	1	0	0	0	0	0	0	0	0	9	Parmotrema neotropicum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1718570864
SRR14722071	5	0	0	1	0	0	0	0	0	0	6	Arthonia cupressina	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	1841760892
SRR14722072	1	1	0	0	0	0	0	0	0	0	2	Brigantiaea leucoxantha	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Teloschistales	Lecanoromycetes	702881444
SRR14722075	2	1	0	0	0	0	0	0	0	0	3	Parmotrema margaritatum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	751529718
SRR14722076	0	0	0	0	0	1	0	0	0	0	1	Peltigera phyllidiosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	935642810
SRR14722077	3	1	0	0	0	0	0	0	0	0	4	Parmotrema reticulatum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1920498332
SRR14722078	9	1	0	0	0	0	0	0	0	0	10	Lecanora oreinoides	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	2237419850
SRR14722080	1	1	1	0	0	0	0	0	0	0	3	Cladonia didyma	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	2282694482
SRR14722081	5	1	0	0	0	0	0	0	0	0	6	Heterodermia appalachiensis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1759614476
SRR14722082	4	1	1	0	0	0	0	0	0	0	6	Cladonia mateocyatha	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	1555905208
SRR14722083	4	1	1	0	0	0	0	0	0	0	6	Buellia spuria	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Caliciales	Lecanoromycetes	2415466366
SRR14722084	2	1	0	0	0	0	0	0	0	0	3	Cladonia squamosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	2103064882
SRR14722085	6	0	0	0	0	0	0	1	0	0	7	Pseudosagedia rhaphidosperma	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	2676506106
SRR14722086	13	1	0	0	0	3	0	0	0	0	17	fungal sp. Tripp_6058_COLO-L-0051364	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		NA	Unknown	3412670668
SRR14722087	4	1	0	0	0	0	0	0	0	0	5	Cladonia stipitata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Cladoniaceae	Lecanorales	Lecanoromycetes	1608577934
SRR14722088	11	1	0	0	0	0	0	0	0	0	12	Cladonia uncialis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	2831025614
SRR14722090	9	1	0	0	0	0	0	0	0	0	10	Acarospora sp. Tripp_6053_NY-2858381	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Acarosporaceae Zahlbr.	Acarosporales	Lecanoromycetes	2705046012
SRR14722092	4	0	0	0	0	0	0	1	0	0	5	Chrysothrix susquehannensis	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	1273068920
SRR14722094	7	1	0	0	0	0	0	0	0	0	8	Usnea strigosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2229400844
SRR14722095	7	1	0	0	0	0	0	0	0	0	8	Umbilicaria papulosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Umbilicariales	Lecanoromycetes	2377912666
SRR14722098	10	1	2	0	0	0	0	0	0	0	13	Acarospora sinopica	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Acarosporaceae Zahlbr.	Acarosporales	Lecanoromycetes	2400755946
SRR14722099	0	1	0	0	0	0	0	0	0	0	1	Cladonia pyxidata	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	752849760
SRR14722101	7	1	0	0	0	0	0	0	0	0	8	Cladonia strepsilis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	1608475254
SRR14722103	3	1	0	0	0	0	0	0	0	0	4	Cladonia coccifera	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	1828089050
SRR14722104	3	1	1	0	0	0	0	0	0	0	5	Parmotrema hypotropum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1689883280
SRR14722105	4	1	1	0	0	0	0	0	0	0	6	Buellia spuria	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Caliciales	Lecanoromycetes	1827127180
SRR14722106	10	1	1	0	0	0	0	0	0	0	12	Flavoparmelia baltimorensis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1825538056
SRR14722108	2	1	0	0	0	0	0	0	0	0	3	Parmotrema subsumptum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1490065584
SRR14722109	0	1	0	0	0	0	0	0	0	0	1	Pertusaria andersoniae	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	1579021496
SRR14722112	2	1	0	0	0	1	0	0	0	0	4	Sticta sp. Lendemer_47364_NY-2795562	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	4131638444
SRR14722113	4	1	0	0	0	1	0	0	0	0	6	Nephroma helveticum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	6700040026
SRR14722115	4	1	0	1	0	0	0	0	0	0	6	Usnea halei	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	3464996698
SRR14722116	9	1	0	1	0	0	0	0	0	0	11	Usnea subscabrosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	5176420732
SRR14722117	3	1	1	0	0	0	0	0	0	0	5	Cladonia mateocyatha	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	3718520866
SRR14722118	3	1	0	0	0	0	0	0	0	0	4	Bryoria tenuis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	904833072
SRR14722119	3	1	3	0	0	0	0	0	0	0	7	Cladonia grayi	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	3094033790
SRR14722120	1	1	0	1	0	0	0	0	0	0	3	Usnea merrillii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2522191958
SRR14722121	1	1	1	0	0	0	0	0	0	0	3	Cladonia macilenta	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	5024869582
SRR14722123	5	1	0	0	0	0	0	0	0	0	6	Brianaria bauschiana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Psoraceae	Lecanorales	Lecanoromycetes	4166324654
SRR14722124	5	1	0	0	0	0	0	0	0	0	6	Melanelia culbersonii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2740461250
SRR14722125	7	1	0	1	0	0	0	0	0	0	9	Ionaspis alba	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Baeomycetales	Lecanoromycetes	5674845760
SRR14722127	1	1	0	0	0	0	0	0	0	0	2	Xanthoparmelia mexicana	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2196437846
SRR14722128	13	1	0	0	0	0	0	0	0	0	14	Lecidella sp. Lendemer_46226_NY-2606722	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	5671217532
SRR14722129	5	1	0	0	0	0	0	0	0	0	6	Pseudevernia cladonia	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1332706672
SRR14722130	15	1	1	0	0	0	0	0	0	0	17	Parmotrema hypotropum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	7112828122
SRR14722131	0	0	0	0	0	0	0	1	0	0	1	Parmotrema gardneri	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1390226196
SRR14722132	5	1	0	0	0	0	0	0	0	0	6	Anzia colpodes	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2833612546
SRR14722133	5	1	0	0	0	0	0	0	0	0	6	Heterodermia hypoleuca	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	3761583348
SRR14722135	2	1	1	3	0	0	0	0	0	0	7	Mycocalicium subtile	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Mycocaliciales	Eurotiomycetes	2549242702
SRR14722136	2	1	0	0	0	0	0	0	0	0	3	Pertusaria ostiolata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	1878951588
SRR14722137	2	0	0	0	0	1	0	0	0	0	3	Leptogium hirsutum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	2618053100
SRR14722138	3	1	0	0	0	0	0	0	0	0	4	Heterodermia speciosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	2719689388
SRR14722139	4	1	0	0	0	0	0	0	0	0	5	Parmotrema cetratum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	3225231348
SRR14722140	6	1	0	0	0	0	0	0	0	0	7	Platismatia tuckermanii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1728674878
SRR14722141	1	1	0	0	0	0	0	0	0	0	2	Phaeophyscia squarrosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	3306673198
SRR14722143	8	1	0	0	0	0	0	0	0	0	9	Zwackhia viridis	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	3066559944
SRR14722144	5	1	1	0	0	0	0	0	0	0	7	Heterodermia appalachiensis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	2665979896
SRR14722145	8	1	0	0	0	1	0	0	0	0	10	Leptogium chloromelum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	3367211212
SRR14722147	0	1	1	0	0	0	0	0	0	0	2	Byssoloma subdiscordans	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Pilocarpaceae	Lecanorales	Lecanoromycetes	4099305418
SRR14722149	8	0	0	0	0	1	0	0	0	0	9	Peltigera sp. Lendemer_46965_NY-2794668	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	4395393164
SRR14722150	8	1	0	0	0	0	0	0	0	0	9	Cladonia arbuscula	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	3628523054
SRR14722151	4	1	0	0	0	0	0	0	0	0	5	Usnocetraria oakesiana	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1407435666
SRR14722152	6	0	0	2	0	0	0	0	0	0	8	Micarea neostipitata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Pilocarpaceae	Lecanorales	Lecanoromycetes	2109363394
SRR14722154	5	1	1	1	0	0	0	0	0	0	8	Lecanora strobilina	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	2645645632
SRR14722156	15	1	2	0	0	0	0	0	0	0	18	Melanelia stygia	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2739296436
SRR14722157	3	1	0	1	0	0	0	0	0	0	5	Lecidea sp. Lendemer_46382_NY-2795264	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	2552295016
SRR14722158	4	1	0	0	0	0	0	0	0	0	5	Lecanora albella	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	3276275992
SRR14722159	4	1	1	0	0	0	0	0	0	0	6	Ochrolechia arborea	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	3374233920
SRR14722160	6	0	0	0	0	0	0	1	0	0	7	Herteliana schuyleriana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	2987733112
SRR14722161	6	1	0	0	0	1	0	0	0	0	8	Leptogium austroamericanum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	3248286632
SRR14722162	4	0	0	0	0	0	0	0	0	0	4	Hypogymnia incurvoides	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1359847714
SRR14722163	6	1	0	0	0	0	0	0	0	0	7	Tephromela atra	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Tephromelataceae	Lecanorales	Lecanoromycetes	2968349846
SRR14722164	6	1	2	0	0	0	0	0	0	0	9	Lecidea tessellata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	2822949228
SRR14722165	8	1	2	0	0	0	0	0	0	0	11	Rhizocarpon subgeminatum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Rhizocarpales	Lecanoromycetes	3570968498
SRR14722166	5	1	0	1	0	0	0	0	0	0	7	Parmotrema xanthinum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	3127245938
SRR14722167	6	1	0	1	0	0	0	0	0	0	8	Dimelaena oreina	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Caliciaceae	Caliciales	Lecanoromycetes	2926657538
SRR14722168	5	1	0	0	0	0	0	0	0	0	6	Parmotrema stuppeum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2464742196
SRR14722169	4	1	0	0	0	0	0	0	0	0	5	Punctelia appalachiensis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	3391945314
SRR14722170	6	1	0	0	0	0	0	0	0	0	7	Cladonia rangiferina	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	2876458192
SRR14722171	3	1	0	0	0	0	0	0	0	0	4	Cladonia uncialis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	2681839426
SRR14722172	4	0	0	1	0	0	0	0	0	0	5	Chrysothrix xanthina	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	2578131720
SRR14722173	7	1	0	0	0	0	0	0	0	0	8	Melanohalea halei	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2278285886
SRR14722174	2	1	0	0	0	0	0	0	0	0	3	Parmotrema diffractaicum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1324337648
SRR14722175	2	1	0	0	0	1	0	0	0	0	4	Nephroma helveticum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1680805160
SRR14722176	14	1	1	0	0	0	0	0	0	0	16	Xanthocarpia feracissima	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Teloschistales	Lecanoromycetes	4742255264
SRR14722177	4	1	1	1	0	0	0	0	0	0	7	Biatora appalachensis	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	2779935066
SRR14722181	0	1	1	0	0	0	0	0	0	0	2	Gomphillus calycioides	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	2501883062
SRR14722184	2	1	0	0	0	0	0	0	0	0	3	Lecanora hybocarpa	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	2134534188
SRR14722185	3	0	0	0	0	0	0	1	0	0	4	Mycobilimbia sp. Lendemer_46123_NY-2606825	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	1975321902
SRR14722186	0	1	0	0	0	0	0	0	0	0	1	Lepra pustulata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	548060842
SRR14722188	23	1	4	2	0	0	0	0	0	0	30	Xylographa vitiligo	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Baeomycetales	Lecanoromycetes	7175223436
SRR14722197	0	1	0	0	0	1	0	0	0	0	2	Leptogium corticola	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1968745248
SRR14722202	0	1	0	0	0	0	0	0	0	0	1	Hypocenomyce scalaris	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Umbilicariales	Lecanoromycetes	958576992
SRR14722208	1	0	0	0	0	0	0	1	0	0	2	Ricasolia quercizans	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1648319322
SRR14722210	3	1	1	0	0	0	0	0	0	0	5	Caloplaca camptidia	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Teloschistales	Lecanoromycetes	3531005442
SRR14722213	2	1	1	0	0	0	0	0	0	0	4	Pseudosagedia isidiata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	2461390902
SRR14722219	3	1	0	0	0	0	0	0	0	0	4	Hypotrachyna sp. JCL-2020a	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	3196541952
SRR14722221	10	1	0	0	0	0	0	0	0	0	11	Megalospora porphyritis	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Teloschistales	Lecanoromycetes	3561442512
SRR14722222	1	0	0	0	0	0	0	1	0	0	2	Arthonia quintaria	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	2453653662
SRR14722225	1	0	0	0	0	0	0	0	0	0	1	Lopadium disciforme	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	1290245472
SRR14722229	13	0	1	0	0	0	0	1	0	0	15	Lecidea roseotincta	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	3274847230
SRR14722230	8	1	0	0	0	1	0	0	0	0	10	Coccocarpia palmicola	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	3408952142
SRR14722231	15	1	0	0	0	0	0	0	0	0	16	Lecanora masana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	4201317394
SRR14722232	10	1	0	0	0	0	0	0	0	0	11	Lecanora rugosella	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	3456403590
SRR14722233	5	1	0	0	0	0	0	0	0	0	6	Arthothelium ruanum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	3503086146
SRR14722251	2	1	0	0	0	0	0	0	0	0	3	Trapelia coarctata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Baeomycetales	Lecanoromycetes	2592571548
SRR14722272	1	1	0	0	0	0	0	0	0	0	2	Lepraria leprolomopsis	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Stereocaulaceae	Lecanorales	Lecanoromycetes	2220173838
SRR14722274	2	1	0	0	0	0	0	0	0	0	3	Leprocaulon nicholsiae	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Leprocaulales	Lecanoromycetes	2402037634
SRR14722275	6	1	0	0	0	0	0	0	0	0	7	Micareopsis irriguata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Pilocarpaceae	Lecanorales	Lecanoromycetes	1516342604
SRR14722276	4	0	0	0	0	0	0	0	0	0	4	Cystocoleus ebeneus	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Capnodiales	Dothideomycetes	1080803036
SRR14722277	2	1	0	0	0	0	0	0	0	0	3	Cladonia furcata	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	2116714376
SRR14722278	2	1	0	0	0	0	0	0	0	0	3	Buellia spuria	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Caliciales	Lecanoromycetes	1658886000
SRR14722279	3	1	0	0	0	0	0	0	0	0	4	Byssoloma meadii	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Pilocarpaceae	Lecanorales	Lecanoromycetes	1650799950
