bin,median_cov
cov_private_X16_metawrap_bin.15.fa,6.0
cov_private_X16_metawrap_bin.16.fa,9.0
cov_private_X16_metawrap_bin.17.fa,10.0
cov_private_X16_metawrap_bin.18.fa,4.0
cov_private_X16_metawrap_bin.19.fa,6.0
cov_private_X16_metawrap_bin.1.fa,68.0
cov_private_X16_metawrap_bin.20.fa,6.0
cov_private_X16_metawrap_bin.21.fa,5.0
cov_private_X16_metawrap_bin.22.fa,17.0
cov_private_X16_metawrap_bin.23.fa,13.0
cov_private_X16_metawrap_bin.24.fa,5.0
cov_private_X16_metawrap_bin.25.fa,4.0
cov_private_X16_metawrap_bin.26.fa,51.0
cov_private_X16_metawrap_bin.27.fa,6.0
cov_private_X16_metawrap_bin.28.fa,5.0
cov_private_X16_metawrap_bin.29.fa,39.0
cov_private_X16_metawrap_bin.2.fa,5.0
cov_private_X16_metawrap_bin.30.fa,10.0
cov_private_X16_metawrap_bin.31.fa,9.0
cov_private_X16_metawrap_bin.3.fa,12.0
cov_private_X16_metawrap_bin.4.fa,9.0
cov_private_X16_metawrap_bin.5.fa,11.0
cov_private_X16_metawrap_bin.6.fa,15.0
cov_private_X16_metawrap_bin.7.fa,6.0
cov_private_X16_metawrap_bin.8.fa,77.0
cov_private_X16_metawrap_bin.9.fa,7.0
cov_private_X1_concoct_bin.0.fa,5.0
cov_private_X1_concoct_bin.13.fa,207.0
cov_private_X1_metabat2_bin.11.fa,7.0
cov_private_X1_metawrap_bin.1.fa,47.0
cov_private_X2_concoct_bin.0.fa,203.0
cov_private_X2_concoct_bin.1.fa,16.0
cov_private_X3_concoct_bin.10.fa,207.0
cov_private_X3_metawrap_bin.1.fa,47.0
cov_private_X3_metawrap_bin.2.fa,39.0
cov_private_X3_metawrap_bin.3.fa,10.0
cov_private_X3_metawrap_bin.4.fa,14.0
cov_private_X3_metawrap_bin.5.fa,6.0
cov_private_X3_metawrap_bin.6.fa,29.0
cov_private_X4_concoct_bin.17.fa,64.0
cov_private_X4_metawrap_bin.10.fa,4.0
cov_private_X4_metawrap_bin.11.fa,6.0
cov_private_X4_metawrap_bin.12.fa,8.0
cov_private_X4_metawrap_bin.13.fa,8.0
cov_private_X4_metawrap_bin.14.fa,8.0
cov_private_X4_metawrap_bin.15.fa,4.0
cov_private_X4_metawrap_bin.1.fa,10.0
cov_private_X4_metawrap_bin.2.fa,14.0
cov_private_X4_metawrap_bin.3.fa,7.0
cov_private_X4_metawrap_bin.4.fa,7.0
cov_private_X4_metawrap_bin.5.fa,5.0
cov_private_X4_metawrap_bin.6.fa,473.0
cov_private_X4_metawrap_bin.7.fa,8.0
cov_private_X4_metawrap_bin.8.fa,6.0
cov_private_X4_metawrap_bin.9.fa,14.0
cov_private_X5_concoct_bin.21.fa,60.0
cov_private_X5_metawrap_bin.1.fa,462.0
cov_private_X5_metawrap_bin.2.fa,5.0
cov_private_X5_metawrap_bin.3.fa,5.0
cov_private_X5_metawrap_bin.4.fa,4.0
cov_private_X5_metawrap_bin.5.fa,4.0
cov_private_X5_metawrap_bin.6.fa,7.0
cov_private_X5_metawrap_bin.7.fa,7.0
cov_private_X7_concoct_bin.1.fa,164.0
cov_private_X7_metabat2_bin.4.fa,7.0
cov_private_X8_concoct_bin.23.fa,228.0
cov_private_X8_metabat2_bin.7.fa,4.0
cov_private_X8_metawrap_bin.1.fa,18.0
cov_private_X8_metawrap_bin.2.fa,4.0
cov_private_X9_concoct_bin.20.fa,176.0
cov_private_X9_metawrap_bin.1.fa,30.0
cov_public_ERR4179389_metabat2_bin.32.fa,55.0
cov_public_ERR4179389_metawrap_bin.1.fa,28.0
cov_public_ERR4179389_metawrap_bin.2.fa,21.0
cov_public_ERR4179389_metawrap_bin.3.fa,12.0
cov_public_ERR4179389_metawrap_bin.4.fa,20.0
cov_public_ERR4179389_metawrap_bin.5.fa,18.0
cov_public_ERR4179389_metawrap_bin.6.fa,10.0
cov_public_ERR4179389_metawrap_bin.7.fa,7.0
cov_public_ERR4179389_metawrap_bin.8.fa,6.0
cov_public_ERR4179389_metawrap_bin.9.fa,12.0
cov_public_ERR4179390_concoct_bin.45.fa,19.0
cov_public_ERR4179390_concoct_bin.75.fa,14.0
cov_public_ERR4179390_metabat2_bin.28.fa,183.0
cov_public_ERR4179390_metabat2_bin.6.fa,7.0
cov_public_ERR4179390_metawrap_bin.10.fa,29.0
cov_public_ERR4179390_metawrap_bin.11.fa,48.0
cov_public_ERR4179390_metawrap_bin.12.fa,8.0
cov_public_ERR4179390_metawrap_bin.13.fa,17.0
cov_public_ERR4179390_metawrap_bin.14.fa,19.0
cov_public_ERR4179390_metawrap_bin.15.fa,11.0
