genome,cluster,score
public_SRR14721984_concoct_merged.0.fa,144_1,84.78149481998767
public_SRR14722010_metabat2_bin.2.fa,145_0,82.31445798922692
public_SRR14722067_metabat2_bin.8.fa,146_0,78.24095962121812
public_SRR14722136_concoct_merged.0.fa,147_0,85.70603862848473
public_SRR14722330_concoct_merged.0.fa,148_0,83.8494121193387
public_SRR14721949_concoct_bin.4.fa,149_1,89.37856424584736
public_SRR14722278_concoct_bin.6.fa,149_2,91.74688221638219
public_SRR14722024_concoct_bin.3.fa,149_3,87.59579216967994
public_SRR12240183_metabat2_bin.10.fa,150_1,101.12775795649922
public_SRR1532736_concoct_bin.13.fa,150_2,78.47131083576159
public_SRR14721942_metabat2_bin.2.fa,151_0,96.66031206009362
public_SRR14722128_metabat2_bin.9.fa,152_0,95.25525541908365
private_T1889_concoct_bin.16.fa,153_1,88.62518986250493
public_SRR14722135_metabat2_bin.5.fa,153_2,79.86190529754906
public_SRR14722152_metabat2_bin.2.fa,153_3,66.8276413189991
public_SRR14722188_concoct_bin.30.fa,154_1,100.22963575590306
private_T1894_concoct_bin.66.fa,155_1,79.28091477230464
public_SRR14722042_metabat2_bin.4.fa,155_2,56.171883000066956
public_SRR11456919_concoct_bin.22.fa,156_1,88.93686667554819
public_SRR13685159_concoct_merged.0.fa,156_2,99.02772624644163
public_SRR11456915_concoct_bin.5.fa,157_0,71.90098863161805
public_ERR4179390_concoct_bin.45.fa,158_0,88.46569693756784
public_SRR14722177_metabat2_bin.9.fa,159_0,66.82393884728998
public_SRR14721929_concoct_bin.20.fa,160_0,62.50404897316263
public_SRR14722116_metabat2_bin.5.fa,161_1,64.53824162791683
public_SRR14722120_metabat2_bin.4.fa,161_2,52.09034901484882
private_T1882_metabat2_merged.0.fa,162_1,68.79420287008787
private_X11_concoct_bin.15.fa,162_2,70.21188379164839
private_T1912_concoct_bin.0.fa,163_0,62.32161172574322
private_X10_concoct_bin.7.fa,164_0,67.0470243251299
public_SRR7232212_concoct_bin.0.fa,165_1,68.58590919080584
public_SRR7232213_concoct_bin.0.fa,165_2,70.63020202736497
public_SRR7232214_concoct_bin.9.fa,165_3,67.61282965490082
public_ERR4179390_concoct_bin.75.fa,166_0,99.5190686359158
private_TS1974_concoct_bin.29.fa,167_1,76.28604237751469
private_GTX0161_concoct_bin.0.fa,167_2,77.12096183380548
private_X1_metabat2_bin.11.fa,168_1,74.5032965218417
private_T1904_concoct_bin.38.fa,168_2,79.54428384305095
public_SRR5808932_metabat2_bin.2.fa,168_3,72.08235999222045
public_SRR7232211_concoct_bin.8.fa,168_4,75.90351617981605
public_SRR2387885_metabat2_bin.2.fa,168_5,89.56859586828757
private_X2_concoct_bin.1.fa,169_1,70.25262805813149
public_SRR13125477_metabat2_bin.13.fa,169_2,63.651708722601086
private_GTX0163_concoct_bin.46.fa,170_0,68.18875785239938
public_SRR1532736_concoct_bin.20.fa,171_0,50.841599386984306
public_SRR14722143_metabat2_bin.4.fa,172_0,93.39077927475786
public_SRR7232212_concoct_bin.12.fa,173_0,96.67040046129777
