Genome	bac_family	bac_order	bac_phylum	hdbscan	kmeans	apcluster
public_SRR11456923_metawrap_bin.6	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR11456923_metawrap_bin.7	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR12240174_metawrap_bin.3	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR12240179_metawrap_bin.1	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	9	11	4
public_SRR12240180_metawrap_bin.1	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	9	11	4
public_SRR12240182_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR12240183_metawrap_bin.1	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	11
public_SRR12240184_metawrap_bin.3	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	10
public_SRR13125477_metawrap_bin.3	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
public_SRR13125477_metawrap_bin.5	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR13126796_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR13126859_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR13126859_metawrap_bin.2	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
public_SRR13685165_metawrap_bin.1	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	13	11
public_SRR14721954_metawrap_bin.4	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14721957_metawrap_bin.2	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1	3	16
public_SRR14721957_metawrap_bin.3	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1	3	16
public_SRR14721957_metawrap_bin.4	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14721960_metawrap_bin.1	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota	7	11	12
public_SRR14721964_metawrap_bin.2	Steroidobacteraceae	Steroidobacterales	Proteobacteria	0	5	10
public_SRR14721966_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_SRR14721966_metawrap_bin.3	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14721985_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14721985_metawrap_bin.2	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
